nazwa;wojewodztwo;powiat;gmina;miejscowosc;ulica;budynek;latitude;longitude
OSP Rogów;ŁÓDZKIE;brzeziński;Rogów;Rogów;Strażacka;4;51.81805035;19.888399456371488
OSP Helenów;ŁÓDZKIE;brzeziński;Brzeziny;Helenów;;8;51.4006822;21.43773
Ochotnicza Straż Pożarna w Piątku;ŁÓDZKIE;łęczycki;Piątek;Piątek;Strażacka;1;52.0699783;19.481186133222565
Ochotnicza Straz Pożarna w Witoni;ŁÓDZKIE;łęczycki;Witonia;Witonia;Stefana Starzyńskiego;8;52.1478698;19.2919603
Ochotnicza Straz Pożarna w Leźnicy Małej;ŁÓDZKIE;łęczycki;Łęczyca;Leźnica Mała;;80;52.0412827;19.0882844
Ochotnicza Straż Pożarna w Bałuczu;ŁÓDZKIE;łaski;Łask;Bałucz;;19;51.6303257;19.0630075
Ochotnicza Straż Pożarna w Brzykowie;ŁÓDZKIE;łaski;Widawa;Brzyków;;46;51.4153994;18.8642524
Ochotnicza Straż Pożarna w Buczku;ŁÓDZKIE;łaski;Buczek;Buczek;Szkolna;1;51.5002186;19.16385875317864
Ochotnicza Straż Pożarna w Chociwiu;ŁÓDZKIE;łaski;Widawa;Chociw;;102;51.39671905;18.99706635059096
Ochotnicza Straż Pożarna w Chorzeszowie;ŁÓDZKIE;łaski;Wodzierady;Chorzeszów;;18;51.6934979;19.1446062619356
Ochotnicza Straż Pożarna w Łasku;ŁÓDZKIE;łaski;Łask;Łask;Strażacka;4;51.59391015;19.130834297521638
Ochotnicza Straż Pożarna w Maleni;ŁÓDZKIE;łaski;Buczek;Malenia;;16;51.502275;19.2323529
Ochotnicza Straż Pożarna w Marzeninie;ŁÓDZKIE;łaski;Sędziejowice;Marzenin;Łaska;5;51.553450299999994;19.03780725
Ochotnicza Straż Pożarna w Pruszkowie;ŁÓDZKIE;łaski;Sędziejowice;Pruszków;Główna;16;52.17498;20.82595
Ochotnicza Straż Pożarna w Sędziejowicach;ŁÓDZKIE;łaski;Sędziejowice;Sędziejowice;Łódzka;2;51.50922;19.02282
Ochotnicza Straż Pożarna w Siedlcach;ŁÓDZKIE;łaski;Sędziejowice;Siedlce;;29;50.741354349999995;20.49757803094262
Ochotnicza Straż Pożarna w Widawie;ŁÓDZKIE;łaski;Widawa;Widawa;Mickiewicza;24;51.4380087;18.9471432
Ochotnicza Straż Pożarna w Wodzieradach;ŁÓDZKIE;łaski;Wodzierady;Wodzierady;;57;51.71813;19.14966
"Stowarzyszenie Na Rzecz Ratownictwa ""ADIUTARE"" w Gdańsku";POMORSKIE;Gdańsk;Gdańsk;Gdańsk;Wita Stwosza;73;54.39184055;18.577927309045354
Zakładowa Lotniskowa Straż Pożarna Port Lotniczy Gdańsk Sp. z o. o.;POMORSKIE;Gdańsk;Gdańsk;Gdańsk;Juliusza Słowackiego;200;54.376106300000004;18.474896599407934
Grupa Ratownictwa PCK Wejherowo przy Pomorskim Oddziale Okręgowym PCK w Gdańsku;POMORSKIE;Gdańsk;Gdańsk;Gdańsk;Kurkowa;8;54.35321735;18.637992581577045
Grupa Ratownicza Nadzieja Augustów;PODLASKIE;Łomża;Łomża;Łomża;Zawadzka;55;53.157818500000005;22.075732555469155
Ochotnicza Straż Pożarna Krosno - Suchodół;PODKARPACKIE;Krosno;Krosno;Krosno;;10;53.2168772;22.687778222236506
OSP Andrespol;ŁÓDZKIE;łódzki wschodni;Andrespol;Andrespol;Ceramiczna;1;51.7269308;19.6391834
OSP Justynów;ŁÓDZKIE;łódzki wschodni;Andrespol;Justynów;Główna;74;51.7233054;19.6734524
OSP Bukowiec;ŁÓDZKIE;łódzki wschodni;Brójce;Bukowiec;Główna;35;51.8241476;19.578206448322913
OSP Rzgów;ŁÓDZKIE;łódzki wschodni;Rzgów;Rzgów;Nadrzeczna;2;51.6663267;19.4886872
OSP Grodzisko;ŁÓDZKIE;łódzki wschodni;Rzgów;Grodzisko;;47a;52.2259816;15.403486
OSP Tuszyn;ŁÓDZKIE;łódzki wschodni;Tuszyn;Tuszyn;Źródlana;29;51.60314;19.53938
OSP Tuszyn Las;ŁÓDZKIE;łódzki wschodni;Tuszyn;Tuszyn;Bolesława Prusa;9;51.61722;19.51442
OSP Stare Skoszewy;ŁÓDZKIE;łódzki wschodni;Nowosolna;Stare Skoszewy;;19A;51.8508085;19.635633169597753
Ochotnicza Straż Pożarna Świętochłowice 1;ŚLĄSKIE;Świętochłowice;Świętochłowice;Świętochłowice;Łagiewnicka;16;50.3159376;18.9136104
Ochotnicza Straż Pożarna w Palowicach;ŚLĄSKIE;rybnicki;Czerwionka-Leszczyny;Palowice;Wiejska;62;50.099507349999996;18.725693340897017
Ratownictwo Wodne Rzeczpospolitej Oddział w Kutnie;ŁÓDZKIE;kutnowski;Kutno;Kutno;Krasińskiego;35;52.231725850000004;19.347826855089966
Komenda Powiatowa Państwowej Straży Pożarnej w Chodzieży;WIELKOPOLSKIE;chodzieski;Chodzież;Chodzież;Marcinkowskiego;6;53.03371;17.12604
Ochotnicza Straż Pożarna w Koźminie Wielkopolskim;WIELKOPOLSKIE;krotoszyński;Koźmin Wielkopolski;Koźmin Wielkopolski;Floriańska;23;51.8267016;17.457741703529745
KP PSP Krotoszyn;WIELKOPOLSKIE;krotoszyński;Krotoszyn;Krotoszyn;Mickiewicza;29;51.6995729;17.434967
Ochotnicza Straż Pożarna;WIELKOPOLSKIE;kolski;Kościelec;Trzęśniew;;51;52.1938;18.51195
Komenda Miejska PSP w Lesznie;WIELKOPOLSKIE;Leszno;Leszno;Leszno;Okrężna;19;51.8288472;16.59173105
OSP KSRG GRANOWIEC;WIELKOPOLSKIE;ostrowski;Sośnie;Granowiec;Kolejowa;5;51.51272005;17.65291325301724
OSP Kurnatowice;WIELKOPOLSKIE;międzychodzki;Kwilcz;Kurnatowice;;8:00 AM;52.586583;16.0666505
Ochotnicza Straż Pożarna w Kamieniu;WIELKOPOLSKIE;słupecki;Słupca;Kamień;;20;54.44847;18.25448
Ochotnicza Straż Pożarna Pępowo;WIELKOPOLSKIE;gostyński;Pępowo;Pępowo;Stanisławy Nadstawek;1C;51.759114100000005;17.121322676830573
Ochotnicza Straż Pożarna w Słupcy;WIELKOPOLSKIE;słupecki;Słupca;Słupca;Franciszka Ratajczaka;1;52.290071299999994;17.874264969507575
Komenda Powiatowa Państwowej Straży Pożarnej w Gnieźnie;WIELKOPOLSKIE;gnieźnieński;Gniezno;Gniezno;Bolesława Chrobrego;22;52.5316507;17.6059669
OCHOTNICZA STRAŻ POŻARNA W TULISZKOWIE;WIELKOPOLSKIE;turecki;Tuliszków;Tuliszków;Floriański;3;52.077723750000004;18.29266466006736
Ochotnicza Straż Pożarna w Malanowie;WIELKOPOLSKIE;turecki;Malanów;Malanów;Szkolna;1;51.9586833;18.3872927
OSP Kamieniec;WIELKOPOLSKIE;grodziski;Kamieniec;Kamieniec;1000-lecia Państwa Polskiego;29;52.16305395;16.46199030786375
OSP Budzyń;WIELKOPOLSKIE;chodzieski;Budzyń;Budzyń;Strażacka;1;52.8883133;16.983145233200958
Komenda Powiatowa Państwowej Straży Pożarnej;WIELKOPOLSKIE;kępiński;Kępno;Kępno;Broniewskiego;12;51.281499800000006;17.98299972317706
Ochotnicza Straż Pożarna we Wronkach;WIELKOPOLSKIE;szamotulski;Wronki;Wronki;Kościuszki;19;52.7103946;16.377041928498393
OSP Włoszakowice;WIELKOPOLSKIE;leszczyński;Włoszakowice;Włoszakowice;Zalesie;9C;51.93268045;16.360998788520625
Ochotnicza Straż Pożarna w Szamocinie;WIELKOPOLSKIE;chodzieski;Szamocin;Szamocin;Generała Józefa Hallera;10;53.0302048;17.1261636
Ochotnicza Straż Pożarna Piotrowo;WIELKOPOLSKIE;szamotulski;Obrzycko;Piotrowo;;23;52.72633;16.50068
OSP Krotoszyn;WIELKOPOLSKIE;krotoszyński;;Krotoszyn;Mickiewicza;29;51.6995729;17.434967
Ochotnicza Straż Pożarna w Kobylnicy;WIELKOPOLSKIE;poznański;Swarzędz;Kobylnica;Poznańska;4;52.45068005;17.09012255
Ochotnicza Straż Pożarna w Perzowie;WIELKOPOLSKIE;kępiński;Perzów;Perzów;;74a;51.27627;17.80996
Ochotnicza Straż Pożarna w Opatowie;WIELKOPOLSKIE;kępiński;Łęka Opatowska;Opatów;Poznańska;4;51.21344705;18.146793226788077
OCHOTNICZA STRAŻ POŻARNA NOWA WIEŚ KSIĄŻĘCA;WIELKOPOLSKIE;kępiński;Bralin;Nowa Wieś Książęca;;35;51.2374673;17.85975671639509
Ochotnicza Straż Pożarna w Chrząstowie;WIELKOPOLSKIE;śremski;Książ Wielkopolski;Chrząstowo;;46;52.06615;17.12976
Ochotnicza Straż Pożarna w Biadkach;WIELKOPOLSKIE;krotoszyński;Krotoszyn;Biadki;Krotoszyńska;108;51.67317;17.55237
Ochotnicza Straż Pożarna w Warszówce;WIELKOPOLSKIE;kaliski;Blizanów;Warszówka;;9;51.7813149;18.0553068
OCHOTNICZA STRAŻ POŻARNA WE WTÓRKU;WIELKOPOLSKIE;ostrowski;Ostrów Wielkopolski;Wtórek;Szkolna;8A;51.6449664;17.892723
Ochotnicza Straż Pożarna w Przygodzicach;WIELKOPOLSKIE;ostrowski;Przygodzice;Przygodzice;Wrocławska;52;51.58772;17.82533
Ochotnicza Straż Pożarna w Tarchałach Wielkich;WIELKOPOLSKIE;ostrowski;Odolanów;Tarchały Wielkie;Strażacka;3;51.59382785;17.704117884090905
Ochotnicza Straż Pożarna Koło nad Wartą;WIELKOPOLSKIE;kolski;Koło;Koło;Dąbska;24;52.25047;18.9115
Ochotnicza Straż Pożarna w Ostrorogu;WIELKOPOLSKIE;szamotulski;Ostroróg;Ostroróg;Jana Ostroroga;8;52.4013441;16.881777
Ochotnicza Straż Pożarna w Czekanowie ul Strażacka 1  63-410;WIELKOPOLSKIE;ostrowski;Ostrów Wielkopolski;Czekanów;Strażacka;1;51.6763763;17.869586698854963
Ochotnicza Straż Pożarna Odolanów;WIELKOPOLSKIE;ostrowski;Odolanów;Odolanów;1 Maja;8;51.5755529;17.670879809271526
OSP Wrząca Wielka;WIELKOPOLSKIE;kolski;Koło;Wrząca Wielka;;98;52.26015;18.67583
OSP Grzegorzew;WIELKOPOLSKIE;kolski;Grzegorzew;Grzegorzew;;2;52.1976473;18.810247556203542
Ochotnicza Straż Pożarna w Zaniemyślu;WIELKOPOLSKIE;średzki;Zaniemyśl;Zaniemyśl;Średzka;16;52.15611475;17.16455015
Ochotnicza Straż Pożarna w Poznaniu Grupa Ratownictwa Specjalistycznego;WIELKOPOLSKIE;Poznań;Poznań-Nowe Miasto;Poznań;Bobrzańska;6;52.3862323;16.9667287
Ochotnicza Straż Pożarna w Dominowie;WIELKOPOLSKIE;średzki;Dominowo;Dominowo;Centralna;10;52.29125725;17.359800275297914
OSP Klęka;WIELKOPOLSKIE;średzki;Nowe Miasto nad Wartą;Klęka;;1;51.20799555;16.750290621623364
OSP Krzykosy;WIELKOPOLSKIE;średzki;Krzykosy;Krzykosy;Strażacka;6;52.10955085;17.37356583555347
Fundacja Ratownictwo Motocyklowe Polska;MAZOWIECKIE;Warszawa;Białołęka;Warszawa;Hanki Ordonówny;19;52.3321228;20.950105878527044
Stowarzyszenie Sztab Ratownictwa;ŁÓDZKIE;bełchatowski;Bełchatów;Bełchatów;osiedle Dolnośląskie;201;51.3526404;19.369928275679328
OSP Łódź Andrzejów;ŁÓDZKIE;Łódź;Łódź-Widzew;Łódź;Rokicińska;335;51.7400147;19.6119085
OSP Łódź Łagiewniki;ŁÓDZKIE;Łódź;Łódź-Bałuty;Łódź;Pszczelna;84;51.84114035;19.464897548545764
OSP Łódź Stare Złotno;ŁÓDZKIE;Łódź;Łódź-Polesie;Łódź;Stare Złotno;73;51.76806195;19.36574594512549
OSP GRS Łódź Jędrzejów;ŁÓDZKIE;Łódź;Łódź-Górna;Łódź;Tomaszowska;85;51.721520600000005;19.53889829539915
OSP Łódź ORW;ŁÓDZKIE;Łódź;Łódź-Bałuty;Łódź;Pojezierska;92;51.800227050000004;19.41147336913111
Ochotnicza Straż Pożarna w Kniewie;POMORSKIE;wejherowski;Wejherowo;Kniewo;Aleja Lipowa;14;54.65352;18.10379
Elbląskie Wodne Ochotnicze Pogotowie Ratunkowe;WARMIŃSKO-MAZURSKIE;Elbląg;Elbląg;Elbląg;Robotnicza;68;54.1672344;19.401344096729236
Agencja Ochrony Osób i Mienia ANACONDA Jan Meler;WARMIŃSKO-MAZURSKIE;Olsztyn;Olsztyn;Olsztyn;ul. Edwarda Mroza;20A;53.73809625;20.496200992561945
Mazurskie Ochotnicze Pogotowie Ratunkowe;WARMIŃSKO-MAZURSKIE;giżycki;Giżycko;Giżycko;Dąbrowskiego;14A;54.0341521;21.7749665
PODWODNIK Szkoła Ratownictwa, Sportów Wodnych i Obronnych;WARMIŃSKO-MAZURSKIE;piski;Orzysz;Strzelniki;;17;53.80624;22.03506
REJONOWE WODNE OCHOTNICZE POGOTOWIE RATUNKOWE Z SIEDZIBĄ  W  TARNOBRZEGU;PODKARPACKIE;Tarnobrzeg;Tarnobrzeg;Tarnobrzeg;Aleja Niepodległości;2;50.5685059;21.6666822
Mazurska Słuzba Ratownicza;WARMIŃSKO-MAZURSKIE;piski;Orzysz;Okartowo;;22;53.80694;21.85613
Służby Ratownicze;DOLNOŚLĄSKIE;oleśnicki;Oleśnica;Oleśnica;Kolejowa;2;51.2025122;17.381824054294512
Stacja Profilaktyki Zdrowotnej i Pomocy Doraźnej w Świebodzicach;DOLNOŚLĄSKIE;świdnicki;Świebodzice;Świebodzice;Piasta;24;50.8628885;16.3134026
Zaglębiowskie Wodne Ochtonicze Pogotowie Ratunkowe;ŚLĄSKIE;Sosnowiec;Sosnowiec;Sosnowiec;Plac Tadeusza Kościuszki;5;50.2878695;19.1428604200977
Ochotnicza Straż Pożarna w Pyrzowicach;ŚLĄSKIE;tarnogórski;Ożarowice;Pyrzowice;Wolności;74;50.4638899;19.0709951
OCHOTNICZA STRAŻ POŻARNA W PILCU;WARMIŃSKO-MAZURSKIE;kętrzyński;Reszel;Pilec;;32A;53.9844286;21.2356798
Komenda Powiatowa Policji w Iławie;WARMIŃSKO-MAZURSKIE;iławski;Iława;Iława;Wiejska;4;53.58654;19.55558
Komenda Powiatowa Policji w Ostródzie;WARMIŃSKO-MAZURSKIE;ostródzki;Ostróda;Ostróda;Handlowa;6;53.69282415;19.979895046941284
OSP Głowienka;PODKARPACKIE;krośnieński;Miejsce Piastowe;Głowienka;Świętego Jana;10;49.659811950000005;21.751453238090185
Komenda Powiatowa Państwowej Straży Pożarnej w Radziejowie;KUJAWSKO-POMORSKIE;radziejowski;Radziejów;Radziejów;Szpitalna;17;52.614587;18.51457931142857
Komenda Miejska Państwowej Straży Pożarnej w Toruniu;KUJAWSKO-POMORSKIE;Toruń;Toruń;Toruń;Legionów;70;53.025339;18.602548248908562
Komenda Powiatowa PSP w Wąbrzeźnie;KUJAWSKO-POMORSKIE;wąbrzeski;Wąbrzeźno;Wąbrzeźno;św. Floriana;6;53.2720488;18.97143909160134
Komenda Powiatowa PSP w Żninie;KUJAWSKO-POMORSKIE;żniński;Żnin;Żnin;Dąbrowskiego;14;52.84725525;17.715054836741942
Ochotnicza Straż Pożarna w Szembruku;KUJAWSKO-POMORSKIE;grudziądzki;Rogóźno;Szembruk;;12;53.5724672;19.0367572
Ochotnicza Straż Pożarna w Świątkowie;KUJAWSKO-POMORSKIE;żniński;Janowiec Wielkopolski;Świątkowo;;57B;52.8185747;17.574209075046383
Fundacja Ratownictwo Motocyklowe Polska;MAZOWIECKIE;Warszawa;Białołęka;Warszawa;Hanki Ordonówny;19;52.3321228;20.950105878527044
WODNE OCHOTNICZE POGOTOWIE RATUNKOWE W WARSZAWIE;MAZOWIECKIE;Warszawa;Bielany;Warszawa;Marymoncka;34;52.28300835;20.960479554288717
Stołeczne Wodne Ochotnicze Pogotowie Ratunkowe;MAZOWIECKIE;Warszawa;Mokotów;Warszawa;Władysława Pytlasińskiego;17;52.201287449999995;21.030249383878132
Legionowskie Wodne Ochotnicze Pogotowie Ratunkowe;MAZOWIECKIE;legionowski;Nieporęt;Zegrze Południowe;Warszawska;39B;52.4487633;21.0069542
Rzeszowskie Wodne Ochotnicze Pogotowie Ratunkowe;PODKARPACKIE;Rzeszów;Rzeszów;Rzeszów;Piotra Bardowskiego;2;50.0412005;22.0091159
Ochotnicza Straż Pożarna w Dobieszynie;PODKARPACKIE;krośnieński;Jedlicze;Dobieszyn;;112;49.6959513;21.6800633
MSR Tolkmicko;POMORSKIE;Gdynia;Gdynia;Gdynia;A. Hryniewickiego;10;54.5226787;18.5465017
OSP Żychlin;ŁÓDZKIE;kutnowski;Żychlin;Żychlin;Plac Wolności;4;52.2469789;19.6257894
OSP Krośniewice;ŁÓDZKIE;kutnowski;Krośniewice;Krośniewice;Targowa;15;52.2540762;19.16751020883093
Ochotnicza Straż Pożarna w Łążynie;KUJAWSKO-POMORSKIE;toruński;Zławieś Wielka;Łążyn;;16;53.1255683;18.4191484
OSP Witowice;KUJAWSKO-POMORSKIE;inowrocławski;Kruszwica;Witowice;;27B;51.40821;22.08152
Ochotnicza Straż Pożarna w Czernikowie;KUJAWSKO-POMORSKIE;toruński;Czernikowo;Czernikowo;Szkolna;4;52.9456993;18.9365804
Ochotnicza Straż Pożarna w Dobrzejewicach;KUJAWSKO-POMORSKIE;toruński;Obrowo;Dobrzejewice;;-;53.005;18.835556
Ochotnicza Straż Pożarna w Nowejwsi Pałuckiej;KUJAWSKO-POMORSKIE;żniński;Gąsawa;Nowawieś Pałucka;;19;52.75178;17.88178
Ochotnicza Straż Pożarna w Grębocinie;KUJAWSKO-POMORSKIE;toruński;Lubicz;Grębocin;Lubicka;4;53.056618;18.7188638
Ochotnicza Straż Pożarna w Lulkowie;KUJAWSKO-POMORSKIE;toruński;Łysomice;Lulkowo;;-;52.55879;17.71043
Ochotnicza Straż Pożarna w Janowcu Wielkopolskim;KUJAWSKO-POMORSKIE;żniński;Janowiec Wielkopolski;Janowiec Wielkopolski;Gnieźnieńska;3;52.7546185;17.489951818399447
Ochotnicza Straż Pożarna w Łubiance;KUJAWSKO-POMORSKIE;toruński;Łubianka;Łubianka;Toruńska;72;53.123426300000006;18.49241216215229
Ochotnicza Straż Pożarna w Młyńcu;KUJAWSKO-POMORSKIE;toruński;Lubicz;Młyniec Pierwszy;;-;53.0690147;18.8100563
Ochotnicza Straż Pożarna w Papowie Toruńskim;KUJAWSKO-POMORSKIE;toruński;Łysomice;Papowo Toruńskie;Warszawska;43;53.07779;18.66083
Ochotnicza Straż Pożarna w Łabiszynie;KUJAWSKO-POMORSKIE;żniński;Łabiszyn;Łabiszyn;Sienkiewicza;30;52.95131115;17.917518199565016
Ochotnicza Straż Pożarna w Skąpe;KUJAWSKO-POMORSKIE;toruński;Chełmża;Skąpe;;-;52.3644668;17.8330986
Ochotnicza Straż Pożarna w Łasinie;KUJAWSKO-POMORSKIE;grudziądzki;Łasin;Łasin;Odrodzenia Polski;2;53.5178931;19.087502704481658
Ochotnicza Straż Pożarna w Szembekowie;KUJAWSKO-POMORSKIE;toruński;Obrowo;Szembekowo;;-;53.039722;18.850833
Ochotnicza Straż Pożarna w Piechcinie;KUJAWSKO-POMORSKIE;żniński;Barcin;Piechcin;Fabryczna;2;52.8171929;18.0345072
Ochotnicza Straż Pożarna w Rogóźnie;KUJAWSKO-POMORSKIE;grudziądzki;Rogóźno;Rogóźno;;90a;52.0321889;19.8281431
Ochotnicza Straż Pożarna w Barcinie;KUJAWSKO-POMORSKIE;żniński;Barcin;Barcin;Mogileńska;9;52.8539468;17.9379287
Ochotnicza Straż Pożarna w Radzyniu Chełmińskim;KUJAWSKO-POMORSKIE;grudziądzki;Radzyń Chełmiński;Radzyń Chełmiński;Tysiąclecia;17;53.38387215;18.939339399999998
Ochotnicza Straż Pożarna w Toporzysku;KUJAWSKO-POMORSKIE;toruński;Zławieś Wielka;Toporzysko;;-;53.10018;18.29099
Ochotnicza Straż Pożarna w Złotorii;KUJAWSKO-POMORSKIE;toruński;Lubicz;Złotoria;Toruńska;54;52.99435095;18.70902947174926
Ochotnicza Straż Pożarna w Osieku nad Wisłą;KUJAWSKO-POMORSKIE;toruński;Obrowo;Osiek nad Wisłą;;-;52.92741;18.80392
Ochotnicza Straż Pożarna w Rogowie;KUJAWSKO-POMORSKIE;żniński;Rogowo;Rogowo;Bydgoska;9a;52.72615;17.65217
Ochotnicza Straż Pożarna w Witowicach;KUJAWSKO-POMORSKIE;inowrocławski;Kruszwica;Witowice;;27B;51.40821;22.08152
Ochotnicza Straż Pożarna w Kruszwicy;KUJAWSKO-POMORSKIE;inowrocławski;Kruszwica;Kruszwica;Niepodległości;47A;52.6777963;18.3162048
Ochotnicza Straż Pożarna Rojewo;KUJAWSKO-POMORSKIE;inowrocławski;Rojewo;Rojewo;;105;52.9012889;18.2700062
Ochotnicza Straż Pożarna przy Ciech Soda Polska SA;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław;Inowrocław;Fabryczna;4;52.74966085;18.24242352746877
Ochotnicza Straż Pożarna w Gniewkowie;KUJAWSKO-POMORSKIE;inowrocławski;Gniewkowo;Gniewkowo;Piasta;7A;52.8901905;18.409267288289243
Ochotnicza Straż Pożarna w Trlągu;KUJAWSKO-POMORSKIE;inowrocławski;Janikowo;Trląg;;33;52.7151992;18.0930914
Ochotnicza Straż Pożarna w Kołodziejewie;KUJAWSKO-POMORSKIE;inowrocławski;Janikowo;Kołodziejewo;Szkolna;7;52.7087222;18.0358469
Ochotnicza Straż Pożarna w Modliborzycach;KUJAWSKO-POMORSKIE;inowrocławski;Dąbrowa Biskupia;Modliborzyce;;69;52.80216315;18.438258648050727
Ochotnicza Straż Pożarna w Pakości;KUJAWSKO-POMORSKIE;inowrocławski;;;;2;34.6968317;135.4950097
Ochotnicza Straż Pożarna w Chełmcach;KUJAWSKO-POMORSKIE;inowrocławski;Kruszwica;Chełmce;;90;51.6989353;18.1912472
Ochotnicza Straż Pożarna w Jacewie;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław;Jacewo;Świerkowa;40;52.7964416;18.2983133
Ochotnicza Straż Pożarna w Jaksicach;KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław;Jaksice;Dworcowa;15;52.8558602;18.1970007
Ochotnicza Straż Pożarna w Janikowie przy Ciech Soda Polska SA;KUJAWSKO-POMORSKIE;inowrocławski;Janikowo;Janikowo;;30;52.427064599999994;20.295872382337798
Ochotnicza Straż Pożarna w Złotnikach Kujawskiech;KUJAWSKO-POMORSKIE;inowrocławski;Złotniki Kujawskie;Złotniki Kujawskie;;1;52.90157;18.14216
Ochotnicza Straż Pożarna Dębowa Łąka;KUJAWSKO-POMORSKIE;wąbrzeski;Dębowa Łąka;Dębowa Łąka;;-;53.2569001;19.0938907
OSP Książki;KUJAWSKO-POMORSKIE;wąbrzeski;Książki;Książki;Szkolna;18;53.3258632;19.0712014
OSP Ryńsk;KUJAWSKO-POMORSKIE;wąbrzeski;Ryńsk;Ryńsk;Jaszczurkowców;1;53.2308895;18.8205911
OSP Płużnica;KUJAWSKO-POMORSKIE;wąbrzeski;Płużnica;Płużnica;;-;53.300104;18.7767919
OSP Nowa Wieś Królewska;KUJAWSKO-POMORSKIE;wąbrzeski;Płużnica;Nowa Wieś Królewska;;-;52.2592593;17.5824212
OSP Wąbrzeźno;KUJAWSKO-POMORSKIE;wąbrzeski;Wąbrzeźno;Wąbrzeźno;Matejki;11;53.2783486;18.94907952179527
OSP Zieleń;KUJAWSKO-POMORSKIE;wąbrzeski;Ryńsk;Zieleń;;50;52.5470369;17.8408517
OSP Kurkocin;KUJAWSKO-POMORSKIE;wąbrzeski;Dębowa Łąka;Kurkocin;;-;53.2253645;19.0639417
Ochotnicza Straż Pożarna w Iwli;PODKARPACKIE;krośnieński;Dukla;Iwla;;BN.;49.5549513;21.6246319
OSP Bąków Górny;ŁÓDZKIE;łowicki;Zduny;Bąków Górny;;43A;52.1572336;19.72453539037155
OSP Bielawy;ŁÓDZKIE;łowicki;Bielawy;Bielawy;Warszawska;1;52.07643;19.65589
OSP Kiernozia;ŁÓDZKIE;łowicki;Kiernozia;Kiernozia;Rynek Kopernika;11;52.26834995;19.869448849999998
OSP Łowicz;ŁÓDZKIE;łowicki;Łowicz;Łowicz;Świętego Floriana;1;52.107952;19.9371417
OSP Łyszkowice;ŁÓDZKIE;łowicki;Łyszkowice;Łyszkowice;Gminna;12;51.984664699999996;19.90935588451805
OSP Zduny;ŁÓDZKIE;łowicki;Zduny;Zduny;;101A;52.1481457;19.8117403
JRG Aleksandrów Kujawski;KUJAWSKO-POMORSKIE;aleksandrowski;Aleksandrów Kujawski;Aleksandrów Kujawski;Halinowo;2a;52.8646015;18.707521942118703
JRG Ciechocinek;KUJAWSKO-POMORSKIE;aleksandrowski;Ciechocinek;Ciechocinek;Strażacka;1;52.87855275;18.786792162230356
Ochotnicza Straż Pożarna;KUJAWSKO-POMORSKIE;radziejowski;Osięciny;Osięciny;Rataja;8;52.6320016;18.7191883
Miejska Ochotnicza Straż Pożarna;KUJAWSKO-POMORSKIE;radziejowski;Radziejów;Radziejów;Kościuszki;1;52.6244558;18.5266811416046
Ochotnicza Straż Pożarna;KUJAWSKO-POMORSKIE;radziejowski;Piotrków Kujawski;Piotrków Kujawski;Strażacka;2;52.54776895;18.495555264136303
Ochotnicza Straż Pożarna;KUJAWSKO-POMORSKIE;radziejowski;Bytoń;Bytoń;;13;52.55726;18.59649
Ochotnicza Straż Pożarna;KUJAWSKO-POMORSKIE;radziejowski;Piotrków Kujawski;Bycz;;1;52.4799445;18.593678743002435
Ochotnicza Straż Pożarna;KUJAWSKO-POMORSKIE;radziejowski;Dobre;Krzywosądz;;46;52.70496;18.58807
Ochotnicza Straż Pożarna;KUJAWSKO-POMORSKIE;radziejowski;Dobre;Dobre;Powstańców;1;52.68424;18.5624
Ochotnicza Straż Pożarna;KUJAWSKO-POMORSKIE;radziejowski;Topólka;Orle;;1;53.509860149999994;18.96442249512654
Ochotnicza Straż Pożarna;KUJAWSKO-POMORSKIE;radziejowski;Topólka;Topólka;;20;49.1172435;16.7255188
KOMENDA POWIATOWA POLICJI W NIDZICY;WARMIŃSKO-MAZURSKIE;nidzicki;Nidzica;Nidzica;Mickiewicza;17;53.36013;20.4312
OSP Drzewica;ŁÓDZKIE;opoczyński;Drzewica;Drzewica;Plac Gabriela Narutowicza;1;51.4503251;20.47496463000526
OSP Kamień;ŁÓDZKIE;opoczyński;Sławno;Kamień;;56;53.99503315;86.54819695056264
OSP Paradyż;ŁÓDZKIE;opoczyński;Paradyż;Paradyż;Piotrkowska;1;51.3054699;20.113461888369486
OSP Żarnów;ŁÓDZKIE;opoczyński;Żarnów;Żarnów;Szkolna;8;51.2486696;20.173109061675383
OSP Wygnanów;ŁÓDZKIE;opoczyński;Opoczno;Wygnanów;;25A;51.6719003;22.630716685161662
OSP Petrykozy;ŁÓDZKIE;opoczyński;Białaczów;Petrykozy;;77A;51.300831;20.36274525
OSP Wąglany;ŁÓDZKIE;opoczyński;Białaczów;Wąglany;;75;51.3251963;20.2776707
OSP Prymusowa Wola;ŁÓDZKIE;opoczyński;Sławno;Prymusowa Wola;;61C;51.3684646;20.1748016
OSP Błogie;ŁÓDZKIE;opoczyński;Mniszków;Błogie Szlacheckie;;26;51.3863637;19.958458130395442
OSP Mniszków;ŁÓDZKIE;opoczyński;Mniszków;Mniszków;mjr. Hubala;4;51.37321;20.03885
OSP Poświętne;ŁÓDZKIE;opoczyński;Poświętne;Poświętne;Główna;40;51.5320196;20.36507977186966
